fdp_mx,fdp_cpi,power_mx,power_cpi
0.4444444444444444,0.5833333333333334,1.0,1.0
0.16666666666666666,0.0,1.0,1.0
0.0,0.2857142857142857,1.0,1.0
0.4444444444444444,0.0,1.0,1.0
0.0,0.5,1.0,1.0
0.0,0.2857142857142857,1.0,1.0
0.16666666666666666,0.16666666666666666,1.0,1.0
0.5,0.75,1.0,1.0
0.16666666666666666,0.375,1.0,1.0
0.2857142857142857,0.16666666666666666,1.0,1.0
0.2857142857142857,0.2857142857142857,1.0,1.0
0.5,0.4444444444444444,1.0,1.0
0.16666666666666666,0.375,1.0,1.0
0.0,0.375,1.0,1.0
0.2857142857142857,0.7222222222222222,1.0,1.0
0.0,0.4444444444444444,1.0,1.0
0.0,0.375,1.0,1.0
0.0,0.16666666666666666,1.0,1.0
0.5,0.16666666666666666,1.0,1.0
0.16666666666666666,0.4444444444444444,1.0,1.0
0.2857142857142857,0.16666666666666666,1.0,1.0
0.16666666666666666,0.2857142857142857,1.0,1.0
0.16666666666666666,0.0,1.0,1.0
0.375,0.16666666666666666,1.0,1.0
0.0,0.16666666666666666,1.0,1.0
